Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
Acceleration  X,Acceleration  Y,Acceleration  Z, Aggregated Acceleration Value
-0.1914,0.3254,9.6852,9.7024
-0.1914,0.3158,9.6947,9.7117
-0.1914,0.3158,9.7043,9.7212
-0.2010,0.3158,9.6947,9.7119
-0.1531,0.2488,9.7043,9.7186
-0.1914,0.3254,9.7139,9.7311
0.3828,0.0479,9.7043,9.7219
-1.1006,0.4977,9.6852,9.7701
1.7896,-0.2201,9.5799,9.7580
-0.1531,0.3732,9.5129,9.5312
0.8613,0.5455,9.7330,9.7962
1.2729,1.4930,13.7621,13.9154
0.7369,-0.1818,16.8246,16.8589
-0.0957,-4.7660,-2.0672,5.2012
-4.0482,-0.6891,-7.9625,8.9682
2.2777,-4.6225,14.3555,15.2679
1.9619,-2.6031,15.2551,15.6154
3.0434,-1.0049,15.4656,15.8103
2.8232,-3.5314,13.7813,14.5188
0.4785,-3.8568,2.0480,4.3975
-0.6125,-5.0436,-7.2064,8.8263
-3.6463,-2.6318,-7.2352,8.5275
0.3541,-5.9814,15.4656,16.6027
1.0814,-0.6316,17.1787,17.2419
2.2777,-1.7035,16.3365,16.5992
-5.1584,-1.9428,3.6367,6.6105
-5.4359,-6.2398,-10.1350,13.0978
-0.0957,-7.2064,-4.5459,8.5297
-1.3207,-4.6033,0.9092,4.8795
4.7469,-0.9475,10.2115,11.3122
7.3404,2.7371,10.6135,13.2051
4.9287,1.1867,11.7428,12.8034
5.4455,2.8041,11.0059,12.6083
5.8092,1.1963,15.1402,16.2771
-5.3594,5.0340,8.7090,11.4095
-6.7949,3.9430,-19.2842,20.8443
-6.5174,4.3736,-6.8523,10.4298
3.5219,-0.9953,18.6334,19.0088
5.3307,0.1818,18.4420,19.2174
-2.8424,0.8518,6.2877,6.9598
-2.2012,-4.6225,-11.7715,12.8498
-0.0287,-6.3260,3.8473,7.4116
-4.0674,-2.7754,10.6326,11.7294
2.4309,-0.4881,13.9057,14.1394
-0.8709,0.4211,10.1158,10.1723
-0.6795,-0.7752,9.6469,9.7117
7.4648,-0.9953,9.6756,12.2735
-8.6803,7.3404,10.4508,15.4575
0.1148,4.1439,14.1354,14.7457
5.8475,5.9240,6.9289,10.8414
-12.7955,0.3350,17.6859,21.8541
14.6139,3.7037,4.5650,15.7680
-14.3842,1.0145,16.0494,21.5979
7.8668,3.5793,7.7328,11.6090
0.7178,1.9428,9.3598,9.5960
-9.0631,-0.5264,14.2598,16.9216
9.4172,0.2297,6.5461,11.4829
-8.6420,-0.3637,13.1688,15.7715
-4.2779,-0.6508,11.7811,12.5634
0.2967,-0.0574,9.1588,9.1731
-1.2729,-0.6221,9.3980,9.5139
-1.8758,-0.3637,9.9244,10.1170
-0.6029,-0.1340,9.6086,9.6382
-2.0289,-0.2871,9.9818,10.2004
-1.5408,-0.2297,9.7043,9.8386
-1.5313,-0.1340,9.6373,9.7691
-1.5217,-0.1627,9.5990,9.7302
-1.5791,-0.0957,9.7043,9.8424
-1.5504,-0.0383,9.6947,9.8280
-1.4260,0.0096,9.5416,9.6574
-1.5121,0.0096,9.6086,9.7368
-1.4355,0.0000,9.6947,9.8104
-1.4355,-0.0096,9.6564,9.7725
-1.3686,-0.1053,9.5129,9.6212
-1.4164,-0.1723,9.6086,9.7239
-1.5217,-0.0191,9.6469,9.7761
-1.3111,-0.0670,9.6852,9.7837
-1.1389,-0.0574,9.7521,9.8286
-2.1438,0.8900,8.5271,8.8464
-0.2105,-0.2393,12.6328,12.6497
8.7664,-0.1627,6.7854,11.0981
-5.9336,4.1152,13.3697,15.2106
-8.4027,0.5168,14.6809,16.9406
10.4795,2.2682,12.4127,16.4192
2.4787,-5.0436,7.8572,9.6700
-4.8521,-2.3830,-6.1824,8.2208
-3.9621,-2.6223,-12.2404,13.1436
-2.7658,0.3924,2.5840,3.8092
0.9379,-5.0053,19.4852,20.1602
-4.9957,-4.9191,19.0066,20.2792
-4.1439,-1.1484,6.4121,7.7284
5.0436,-2.0863,-8.8525,10.4105
2.8902,0.5742,-9.7713,10.2164
-2.9189,-0.0670,16.4896,16.7632
-8.0104,-2.0863,19.3129,21.0335
-0.2105,4.0674,4.0674,5.7619
3.1773,-3.9908,-7.9625,9.4661
